DRUGID,TARGETID,VALUE
CHEMBL1087421,O00141,11.1
CHEMBL1087421,O14920,11.1
CHEMBL1087421,O15111,11.1
CHEMBL1087421,P00533,11.1
CHEMBL1087421,P04626,11.1
CHEMBL1087421,P06239,11.1
CHEMBL1087421,P07333,11.1
CHEMBL1087421,P15056,11.1
CHEMBL1087421,P24941,11.1
CHEMBL1087421,P28482,10.1
CHEMBL1087421,P45983,10.1
CHEMBL1087421,P45984,12.199999035
CHEMBL1087421,P49841,11.1
CHEMBL1087421,P53350,11.1
CHEMBL1087421,P53779,12.999992935
CHEMBL1087421,Q13464,11.1
CHEMBL1087421,Q16539,11.200000128
CHEMBL1087421,Q16584,11.1
CHEMBL1088633,O00141,11.1
CHEMBL1088633,O14920,11.1
CHEMBL1088633,O15111,11.1
CHEMBL1088633,P00533,11.1
CHEMBL1088633,P04626,11.1
CHEMBL1088633,P06239,11.1
CHEMBL1088633,P07333,11.1
CHEMBL1088633,P15056,11.1
CHEMBL1088633,P24941,11.1
CHEMBL1088633,P28482,10.1
CHEMBL1088633,P45983,10.1
CHEMBL1088633,P45984,11.999998417
CHEMBL1088633,P49841,11.1
CHEMBL1088633,P53350,11.1
CHEMBL1088633,P53779,12.85000321
CHEMBL1088633,Q13464,11.1
CHEMBL1088633,Q16539,11.200000128
CHEMBL1088633,Q16584,11.1
CHEMBL1090360,O00141,12.1
CHEMBL1090360,O00311,11.999998417
CHEMBL1090360,O14757,12.11610018
CHEMBL1090360,O14965,13.364454549
CHEMBL1090360,O15075,11.1
CHEMBL1090360,O15264,12.11610018
CHEMBL1090360,O15530,11.500000186
CHEMBL1090360,O43293,12.192825032
CHEMBL1090360,O60674,12.175286885
CHEMBL1090360,O75116,12.11610018
CHEMBL1090360,O75582,11.800000504
CHEMBL1090360,O94806,11.599999679
CHEMBL1090360,O95819,13.399988938
CHEMBL1090360,O96013,12.12524764
CHEMBL1090360,O96017,12.175286885
CHEMBL1090360,P00533,13.986582248
CHEMBL1090360,P04626,13.816269724
CHEMBL1090360,P04629,12.14899771
CHEMBL1090360,P05129,12.11610018
CHEMBL1090360,P06213,13.40180658
CHEMBL1090360,P06239,13.564222704
CHEMBL1090360,P06241,12.702059991
CHEMBL1090360,P06493,12.11610018
CHEMBL1090360,P07332,11.800000504
CHEMBL1090360,P07333,12.213943352
CHEMBL1090360,P07948,14.15628887
CHEMBL1090360,P07949,13.8000571
CHEMBL1090360,P08069,13.644697473
CHEMBL1090360,P08922,11.800000504
CHEMBL1090360,P10721,12.192825032
CHEMBL1090360,P11309,12.112837225
CHEMBL1090360,P11362,12.499996913
CHEMBL1090360,P12931,13.00201185
CHEMBL1090360,P15735,11.400000202
CHEMBL1090360,P16591,11.900000875
CHEMBL1090360,P17612,11.200000128
CHEMBL1090360,P23443,11.300000237
CHEMBL1090360,P24723,12.1
CHEMBL1090360,P24941,11.200000128
CHEMBL1090360,P27448,11.300000237
CHEMBL1090360,P28482,12.11610018
CHEMBL1090360,P29317,12.856080731
CHEMBL1090360,P29597,12.213943352
CHEMBL1090360,P31751,12.11610018
CHEMBL1090360,P35916,13.4298096
CHEMBL1090360,P35968,13.76675597
CHEMBL1090360,P41743,11.400000202
CHEMBL1090360,P42679,11.800000504
CHEMBL1090360,P42685,13.600038134
