DRUGID,TARGETID,VALUE
103904189,CLK2,8.1
103904189,CSF1R,6.7
103904189,LCK,5.9
103904189,MAP2K2,7.3
103904189,MAPK9,6.6
103904189,PDGFRA,6.0
103904189,PRKAA1,6.9
103904189,PRKACA,7.5
103904189,PRKX,7.2
103904189,STK6,6.1
103904189,INSR,6.4
103904189,PIM2,6.4
103904189,MELK,8.3
103904189,CAMK2G,7.5
103904189,CDC42BPA,7.5
103904189,PHKG2,6.7
103904189,PKN2,8.1
103904189,PRKCD,7.2
103904189,PRKCG,6.7
103904189,PAK1,5.9
103904189,SRPK1,6.0
103904189,FES,6.1
103904189,FLT4,6.7
103904189,PRKCZ,6.6
103904189,TOPK,5.5
103904189,DAPK3,7.1
103904189,DYRK1B,8.6
103904189,JAK2,6.7
103904189,KDR,6.6
103904189,MST1R,7.0
103904189,PAK4,7.6
103904189,CDC7,9.8
103904189,MAP4K5,7.1
103904189,CDK9,8.9
103904189,GPRK5,5.8
103904189,GSK3A,7.2
103904189,GSK3B,7.3
103904189,ROCK1,8.1
103904189,CAMK2D,7.2
103904189,CSNK1G2,6.2
103904189,KIAA1811,6.0
103904189,FRK,6.4
103904189,CSNK1D,7.7
103904189,MAPK12,6.8
103904189,CAMK2A,6.8
103904189,FLT1,6.8
103904189,JAK3,7.3
103904189,NTRK2,6.4
103904189,TAO1,6.3
103904189,CSNK1G3,6.2
103904189,MKNK2,7.4
103904189,CAMK2B,7.0
103904189,MAP4K2,7.4
103904189,MINK,8.5
103904189,LYN,6.1
103904189,CHEK1,6.4
103904189,RPS6KA3,7.0
103904189,PDPK1,6.3
103904189,STK22D,6.9
103904189,DYRK4,5.5
103904189,FGFR1,5.7
103904189,NTRK3,7.1
103904189,EGFR,6.1
103904189,MARK3,7.3
103904189,HIPK2,7.5
103904189,DYRK3,8.3
103904189,FER,6.7
103904189,CSNK1A1,7.2
103904189,NTRK1,6.4
103904189,PLK1,6.6
103904189,SGK,6.8
103904189,MAPK1,7.3
103904189,RPS6KB1,7.0
103904189,PRKCN,7.8
103904189,CDK7,6.6
103904189,LTK,6.6
103904189,MAP2K1,7.5
103904189,PIM1,6.0
103904189,PRKCQ,7.8
103904189,TBK1,6.0
103904189,TYK2,6.0
103904189,CDK2,7.9
103904189,IRAK4,7.4
103904189,STK3,7.3
103904189,PRKD2,7.7
103904189,SLK,6.3
103904189,PRKG2,6.0
103904189,PRKCI,5.6
103904189,PRKG1,7.0
103904189,NEK2,5.2
103904189,CDC2,7.4
103904189,CDK8,9.1
103904189,MAPK8,6.6
103904189,FLT3,7.9
103904189,CSNK2A1,6.8
103904189,HIPK4,6.4
103904189,STK12,6.3
103904189,LRRK2,8.1
103904189,ROS1,6.8
103904189,MAPKAPK2,5.4
103904189,SYK,6.0
103904189,CDK5,8.0
103904189,STK17A,7.4
103904189,ABL1,6.2
103904189,RET,5.9
103904189,ACVR1,5.9
103904189,CSNK1G1,6.5
103904189,ITK,6.4
103904189,NEK4,6.1
103904189,SRMS,6.1
103904189,IKBKE,6.1
103904189,IRAK1,7.1
103904189,MAPK13,6.9
103904189,ACK1,5.5
103904189,AKT2,5.3
103904189,MAPKAPK5,6.1
103904189,AKT1,5.7
103904189,PIM3,5.5
103904190,CLK2,8.1
103904190,CSF1R,6.9
103904190,LCK,5.5
103904190,MAP2K2,7.5
103904190,MAPK9,5.5
103904190,PDGFRA,5.9
103904190,PRKAA1,7.4
103904190,PRKACA,8.1
103904190,PRKX,8.5
103904190,MELK,8.5
103904190,DAPK3,7.3
103904190,DYRK1B,7.8
103904190,JAK2,6.1
103904190,KDR,6.1
103904190,MST1R,7.2
103904190,PAK4,7.4
103904190,CDC7,9.5
103904190,MAP4K5,7.3
103904190,ALK,6.2
103904190,GPRK5,6.2
103904190,GSK3A,6.4
103904190,GSK3B,6.4
103904190,ROCK1,8.9
103904190,CAMK2D,6.6
103904190,CAMK2A,6.7
103904190,JAK3,6.8
103904190,NTRK2,6.1
103904190,ROCK2,8.7
103904190,MAP4K2,7.2
103904190,MINK,7.7
103904190,RPS6KA3,7.9
103904190,FGFR1,5.4
103904190,NTRK3,5.8
103904190,HIPK2,7.4
103904190,CSNK1A1,7.8
103904190,MAP4K4,7.7
103904190,PRKCN,8.3
103904190,CLK4,9.0
103904190,CDK7,7.3
103904190,LTK,6.9
103904190,MAP2K1,7.7
103904190,PIM1,6.9
103904190,PRKCQ,9.1
103904190,TBK1,5.7
103904190,CDK2,7.5
103904190,DYRK1A,7.6
103904190,STK3,7.1
103904190,CDK8,8.3
103904190,MAPK8,5.9
103904190,FLT3,8.2
103904190,STK12,6.6
103904190,LRRK2,8.7
103904190,CDK5,8.5
103904190,STK17A,7.5
103904190,MAPK14,5.7
103904190,TYRO3,5.6
103904190,ABL1,5.8
103904190,PDGFRB,6.3
103904190,RET,5.7
103904190,ACVR1,6.2
103904190,IKBKE,5.6
103904190,ACK1,5.7
103904191,CLK2,8.2
103904191,MAP2K2,6.2
103904191,PRKAA1,6.3
103904191,PRKACA,7.1
103904191,PRKX,6.7
103904191,PIM2,5.9
103904191,MELK,6.1
103904191,CAMK2G,6.7
103904191,CDC42BPA,5.7
103904191,PHKG2,6.1
103904191,PKN2,6.7
103904191,PRKCD,6.1
103904191,PRKCG,5.7
103904191,FLT4,6.2
103904191,PRKCZ,5.8
103904191,TOPK,6.2
103904191,DAPK3,5.9
103904191,DYRK1B,8.4
103904191,KDR,6.4
103904191,MST1R,6.1
103904191,CDC7,6.5
103904191,MAP4K5,6.6
103904191,CDK9,6.8
103904191,GPRK5,5.8
103904191,GSK3A,6.2
103904191,GSK3B,6.1
103904191,ROCK1,6.4
103904191,AKT3,5.2
103904191,CAMK2D,7.1
103904191,CSNK1G2,5.5
103904191,KIAA1811,6.8
103904191,FRK,5.8
103904191,CSNK1D,6.2
103904191,MAPK12,5.5
103904191,CAMK1D,5.8
103904191,CAMK2A,6.1
103904191,TAO1,5.7
103904191,ROCK2,6.1
103904191,CSNK1G3,5.8
103904191,MKNK2,7.0
103904191,CAMK2B,6.5
103904191,MAP4K2,6.6
103904191,MINK,7.0
103904191,CHEK1,5.8
103904191,RPS6KA3,5.8
103904191,PDPK1,6.1
103904191,DYRK4,6.2
103904191,MARK3,6.4
103904191,HIPK2,7.4
103904191,DYRK3,7.0
103904191,CSNK1A1,5.4
103904191,MAP4K4,7.3
103904191,SGK,6.6
103904191,RPS6KB1,6.7
103904191,PRKCN,6.4
103904191,CDK7,6.2
103904191,LTK,6.2
103904191,MAP2K1,6.4
103904191,PIM1,5.7
103904191,PRKCQ,6.8
103904191,TBK1,6.1
103904191,CDK2,6.3
103904191,STK3,6.3
103904191,PRKD2,6.6
103904191,SLK,6.6
103904191,PRKG2,6.8
103904191,PRKCI,5.6
103904191,PRKG1,7.9
103904191,CDC2,7.4
103904191,CDK8,6.7
103904191,MAPK8,5.8
103904191,ZAK,5.3
103904191,MARK2,6.8
103904191,CSNK2A1,5.8
103904191,HIPK4,6.2
103904191,AXL,6.2
103904191,STK12,6.3
103904191,LRRK2,7.0
103904191,ROS1,7.1
103904191,MAPKAPK2,5.7
103904191,SYK,6.1
103904191,CDK5,6.3
103904191,STK17A,7.1
103904191,ABL1,6.0
103904191,EPHA2,5.8
103904191,ACVR1,6.2
103904191,PLK4,7.0
103904191,IKBKE,6.0
103904191,IRAK1,6.2
103904191,MAPK13,5.6
103904191,AKT1,5.3
103904191,PIM3,5.9
103904192,CLK2,8.4
103904192,CSF1R,6.8
103904192,LCK,7.2
103904192,MAPK9,5.7
103904192,PRKAA1,8.4
103904192,PRKACA,7.7
103904192,PRKX,7.1
103904192,MELK,6.4
103904192,CAMK2G,7.0
103904192,CDC42BPA,7.8
103904192,PKN2,8.6
103904192,PRKCD,8.1
103904192,PRKCG,6.4
103904192,SRPK1,5.5
103904192,TOPK,5.3
103904192,DAPK3,7.2
103904192,JAK2,7.5
103904192,KDR,6.0
103904192,PAK4,5.7
103904192,ALK,6.5
103904192,CDK9,7.0
103904192,GSK3B,8.0
103904192,ROCK1,7.6
103904192,AKT3,5.9
103904192,CAMK2D,7.1
103904192,CSNK1G2,8.2
103904192,KIAA1811,5.7
103904192,FRK,7.1
103904192,CSNK1D,7.2
103904192,MAPK12,6.7
103904192,FLT1,6.7
103904192,JAK3,8.1
103904192,NTRK2,6.3
103904192,TAO1,6.5
103904192,ROCK2,8.0
103904192,CSNK1G3,7.7
103904192,MKNK2,6.8
103904192,RPS6KA5,7.8
103904192,CAMK2B,6.0
103904192,ERBB4,5.8
103904192,BLK,7.3
103904192,CHEK1,5.1
103904192,FYN,8.0
103904192,STK22D,6.7
103904192,DYRK4,5.6
103904192,FGFR1,6.5
103904192,NTRK3,7.5
103904192,EGFR,6.7
103904192,MARK3,6.8
103904192,HIPK2,7.2
103904192,DYRK3,7.2
103904192,FER,6.9
103904192,CSNK1A1,6.7
103904192,NTRK1,6.8
103904192,SGK,6.4
103904192,MAPK1,6.2
103904192,RPS6KB1,7.1
103904192,PRKCN,6.8
103904192,CDK7,7.6
103904192,PIM1,6.8
103904192,TYK2,6.5
103904192,CDK2,7.7
103904192,IRAK4,7.0
103904192,DYRK1A,8.4
103904192,PRKD2,6.6
103904192,SLK,8.0
103904192,PRKG1,6.7
103904192,CDC2,7.6
103904192,FLT3,7.4
103904192,ZAK,6.8
103904192,CSNK2A1,5.8
103904192,HIPK4,6.4
103904192,STK12,6.5
103904192,MAPKAPK2,5.2
103904192,CDK5,8.3
103904192,STK17A,6.8
103904192,ABL1,6.3
103904192,RET,6.7
103904192,SRC,7.1
103904192,CSNK1G1,7.8
103904192,ITK,6.6
103904192,PLK4,5.7
103904192,SRMS,6.0
103904192,PTK6,6.2
103904192,IRAK1,7.3
103904192,MAPK13,6.2
103904192,AKT1,5.4
103904192,PIM3,6.6
103904192,STK22B,5.9
103904194,CLK2,5.8
103904194,CSF1R,5.9
103904194,LCK,6.3
103904194,MAPK9,5.8
103904194,MELK,5.9
103904194,CAMK2G,6.1
103904194,CDC42BPA,5.7
103904194,PKN2,5.9
103904194,FLT4,5.4
103904194,MAP4K5,6.6
103904194,ALK,6.0
103904194,GSK3A,6.1
103904194,GSK3B,6.1
103904194,ROCK1,5.4
103904194,CAMK2D,5.9
103904194,FRK,6.4
103904194,CSNK1D,5.7
103904194,ROCK2,6.5
103904194,MKNK2,5.8
103904194,CAMK2B,5.9
103904194,MAP4K2,5.2
103904194,BLK,6.6
103904194,MINK,5.8
103904194,DCAMKL1,5.6
103904194,LYN,7.0
103904194,FYN,7.0
103904194,RPS6KA3,5.2
103904194,NTRK3,7.0
103904194,EGFR,6.0
103904194,MARK3,6.0
103904194,DYRK3,5.4
103904194,BTK,6.6
103904194,MAP4K4,6.8
