DRUGID,TARGETID,VALUE
D0B9BU,T86928,7.0
C2OAV0,T86928,5.795880017344075
CPL8X0,T86928,5.221848749616356
CUJR40,T59102,8.221848749616356
CM50UH,T59102,6.769551078621726
C7KRU3,T59102,5.698970004336019
CLCO61,T59102,7.292429823902063
C29SPL,T85272,4.481486060122113
C8NM2I,T85272,5.154901959985743
CA5W9R,T85272,5.920818753952375
CLT3Z7,T85272,5.769551078621726
CW9V0Y,T85272,5.221848749616356
C8JA3E,T85272,5.366531544420414
C46VLA,T66505,7.823908740944319
C5BFR4,T66505,6.939302159646388
C8M9VH,T66505,7.552841968657781
CD9J0Y,T66505,7.522878745280337
CG16HX,T66505,8.154901959985743
CMGA79,T66505,7.568636235841013
CH0T3O,T66505,7.050609993355087
CTCF71,T66505,7.657577319177793
CNER46,T66505,7.6777807052660805
CTYA67,T66505,8.096910013008056
C45SUB,T66505,7.769551078621726
C95IBJ,T66505,7.3979400086720375
C2SWX1,T66505,7.5376020021010435
CM80QX,T43721,5.657577319177793
CZI43B,T43721,6.0655015487564325
CQ5GB9,T43721,6.142667503568732
C2DPK9,T32880,5.327902142064283
C5PM7A,T32880,4.853871964321762
C92WSG,T32880,4.886056647693163
C1N9OY,T32880,5.236572006437063
CVMW03,T32880,4.769551078621726
D02YPG,T51487,4.958607314841775
D0L9GG,T51487,7.431798275933005
C1VRB9,T51487,7.251811972993799
CUT5W8,T51487,7.275724130399211
CBQ4R7,T51487,7.443697499232713
C15NXT,T51487,6.575118363368933
CK1S7J,T51487,6.97061622231479
CWK02D,T51487,6.8696662315049934
C09PCZ,T51487,7.036212172654444
CG9Z6N,T51487,7.769551078621726
C7DVK8,T51487,6.920818753952375
CJB1V2,T51487,6.58838029403677
C31EGD,T51487,7.0915149811213505
CBV36I,T51487,6.896196279044043
C8B7TF,T51487,7.022276394711152
CNSA17,T51487,6.866461091629782
CX7G9K,T51487,6.769551078621726
CL4XD0,T51487,7.7447274948966935
CB9U0F,T51487,7.552841968657781
CTI32Y,T51487,7.0
C5KV7A,T51487,6.681936665037238
CZK75V,T51487,6.928117992693875
C0FN6W,T51487,5.657577319177793
CYE1R8,T51487,7.3872161432802645
CE8F3Y,T51487,6.518557371497695
COH5G6,T51487,6.2644011003018205
C2VHW7,T51487,6.876148359032914
CZL2P0,T51487,7.161150909262744
CCX08E,T51487,7.031517051446065
C6D3BI,T51487,6.6020599913279625
C3GZU0,T51487,4.958607314841775
D0M4CP,T51487,8.958607314841775
CQ6MW0,T52921,6.7594507517174005
CH54KF,T52921,9.79997073344623
CZP0C7,T52921,9.51999305704285
C2QIL3,T52921,9.0
CVP6D3,T52921,9.569924944448061
C78FTE,T52921,7.199970640755866
CIR4E5,T52921,6.869988050328096
C0R2DW,T52921,7.50003813440381
CY0S2I,T52921,6.589999287456538
CRP95V,T52921,9.599980364934842
C9Z7BY,T52921,8.849857838151442
CCY92E,T52921,8.14002155835798
C14RWU,T52921,7.96018944585165
CP1AZ0,T52921,7.580044251510242
C13MJI,T52921,10.0
C6TWH4,T52921,7.055517327849832
CBIU48,T52921,8.359518563029578
CFB8G1,T52921,7.6020599913279625
CHWB32,T52921,6.806875401645539
C2FPI9,T52921,7.651695136951839
C6HL3Q,T52921,9.869988050328097
C5OA1N,T52921,10.599980364934842
CL2Z7J,T52921,7.853871964321762
CQ0OK5,T52921,9.119987161633228
C4BK0O,T52921,6.357535479757878
CHX36W,T52921,6.543633966870957
CX7A3N,T52921,10.179995693191682
CLV18K,T52921,10.0
CK95WL,T52921,10.169989064063882
C5FA4H,T52921,9.320027305722581
CBUS05,T52921,9.61996975203217
CJG21X,T52921,9.680061560019691
CZ7L6C,T52921,8.230032198670557
C4WRI8,T52921,9.389978975335854
C6T1UX,T52921,8.443697499232712
CDPU87,T52921,7.026872146400302
C3YHF0,T52921,6.8696662315049934
C9L6WI,T52921,7.823908740944319
CML7K2,T52921,8.167491087293763
CQ35XY,T52921,7.853871964321762
C96DUE,T52921,7.141462802430361
