DRUGID,SMILES
D0B9BU,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
C2OAV0,C1=CC=C2C=C(C=CC2=C1)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O
CPL8X0,C1=CC(=CC(=C1)Br)C2=CSC(=N2)NC3=CC=C(C=C3)C(=O)O
CUJR40,CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)N3CC4=CN=C(N=C4N(C3=O)C)N
CM50UH,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CN=C3OC4=CC=C(C=C4)C5=NC6=CC=CC=C6S5)OC
C7KRU3,COC1=C(C=C2C(=C1)C(=NC=N2)OC3=CC=C(C=C3)C4=NC5=CC=CC=C5S4)OCCCN6CCCC6
CLCO61,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=C(C5=C(C=CC=C5F)NC4=O)N
C29SPL,C[C@]12CC[C@H](C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
C8NM2I,CC(=O)C1=C(C2=C(C(=C1O)OCC3=CC=CC=C3)OC=C2)OCC4=CC=CC=C4
CA5W9R,CC(=O)C1=C(C2=C(C(=C1O)OCC3=CC=C(C=C3)Br)OC=C2)OC
CLT3Z7,CC(=O)C1=C(C2=C(C(=C1O)OC)OC=C2)OCC3=CC=C(C=C3)Cl
CW9V0Y,C1C(COC(O1)C2=CC=CC=C2)([N+](=O)[O-])Br
C8JA3E,CC1(OCC(CO1)([N+](=O)[O-])Br)C
C46VLA,CC1=C(C=C(C=C1)C2=NC=C(N2)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
C5BFR4,CC1=C(C=C(C=C1)C2=C3C(=NC=N2)N=CN3)NC(=O)C4=CC=C(C=C4)OCC5=CC=CC=N5
C8M9VH,CC1=C(C=C(C=C1)C2=NC=CS2)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
CD9J0Y,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3N2)NC(=O)C4=CC=C(C=C4)OCC5=CC=CC=N5
CG16HX,CC1=C(C=C(C=C1)C2=CN=C(N2)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
CMGA79,CC1=C(C=C(C=C1)C2=CN(C(=N2)C)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
CH0T3O,CC1=C(C=C(C=C1)C2=CN(C=N2)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
CTCF71,CC1=C(C=C(C=C1)C2=NC=C(N2)C(F)(F)F)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
CNER46,CC1=C(C=C(C=C1)C2=C(NC=N2)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
CTYA67,CC1=C(C=C(C=C1)C2=C(N(N=C2C)C)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
C45SUB,CC1=C(C=C(C=C1)C2=CC=CC=N2)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
C95IBJ,CC1=C(C=C(C=C1)C2=CC=NC=C2)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
C2SWX1,CC1=C(C=C(C=C1)C2=NNC(=C2)C(F)(F)F)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
